#  Z   N   Fission Yield
  23  43   2.0503700e-19
  24  42   2.4098700e-14
  24  43   4.3246500e-15
  24  44   3.6020200e-16
  24  45   2.1082400e-18
  24  46   0.0000000e+00
  25  41   7.1996700e-12
  25  42   5.3797500e-12
  25  43   6.6597000e-13
  25  44   8.0294200e-14
  25  45   7.5521000e-15
  25  46   0.0000000e+00
  25  47   6.0830400e-18
  25  48   6.4108700e-19
  26  40   3.7598200e-10
  26  41   6.8696800e-10
  26  42   3.9198200e-10
  26  43   1.2199400e-10
  26  44   3.2398500e-11
  26  45   4.9197700e-12
  26  46   7.1496100e-13
  26  47   5.5396800e-14
  26  48   0.0000000e+00
  26  49   1.0002900e-16
  26  50   0.0000000e+00
  27  39   2.8098700e-10
  27  40   1.9999100e-09
  27  41   3.6696000e-09
  27  42   3.2498500e-09
  27  43   2.6645700e-09
  27  44   1.4799400e-09
  27  45   5.7997300e-10
  27  46   2.2099000e-10
  27  47   2.9998600e-11
  27  48   3.8097300e-12
  27  49   2.5298800e-13
  27  50   6.5265900e-15
  27  51   4.2794000e-16
  28  38   5.7797300e-11
  28  39   9.0395900e-10
  28  40   4.1898000e-09
  28  41   1.1938850e-08
  28  42   2.7798700e-08
  28  43   4.3498000e-08
  28  44   7.5996500e-08
  28  45   7.1296800e-08
  28  46   4.5797900e-08
  28  47   1.5299300e-08
  28  48   5.0197800e-09
  28  49   5.6396800e-10
  28  50   5.0297300e-11
  28  51   0.0000000e+00
  28  52   1.5599300e-14
  28  53   0.0000000e+00
  28  54   0.0000000e+00
  29  37   1.4299400e-13
  29  38   9.6795600e-12
  29  39   1.0509520e-10
  29  40   1.1399500e-09
  29  41   7.9253100e-09
  29  42   3.4798400e-08
  29  43   1.2699400e-07
  29  44   4.7097900e-07
  29  45   6.8196900e-07
  29  46   1.0099600e-06
  29  47   8.6906300e-07
  29  48   4.4498000e-07
  29  49   1.0899500e-07
  29  50   1.3138800e-08
  29  51   5.2497600e-10
  29  52   0.0000000e+00
  29  53   1.4799400e-12
  29  54   7.3134800e-15
  29  55   0.0000000e+00
  30  36   3.6322100e-17
  30  37   1.0978000e-14
  30  38   4.7397900e-13
  30  39   1.3079480e-11
  30  40   3.0298700e-10
  30  41   4.0608150e-09
  30  42   6.0997200e-08
  30  43   5.6351810e-07
  30  44   2.5098800e-06
  30  45   7.6696500e-06
  30  46   1.8379200e-05
  30  47   3.1246270e-05
  30  48   3.5648400e-05
  30  49   1.6389200e-05
  30  50   2.4198900e-06
  30  51   3.7848400e-07
  30  52   1.0799500e-07
  30  53   6.3196400e-10
  30  54   1.2199400e-08
  30  55   1.5437700e-13
  30  56   2.2799000e-12
  31  36   0.0000000e+00
  31  37   0.0000000e+00
  31  38   3.7404600e-15
  31  39   1.4699400e-13
  31  40   9.3895700e-12
