[1.0, 0.0, 0.44224, 0.05528, '', '']
[261626.0, 7.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 7.84976, 0.11056, '', '']
[278000.0, 110.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.5528, 0.11056, '', '']
[281200.0, 500.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.05528, '', '']
[284500.0, 300.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.22112, 0.11056, '', '']
[294820.0, 130.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.22112, 0.05528, '', '']
[307900.0, 100.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.2764, 0.05528, '', '']
[312072.0, 3.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 2.2112, 0.16584, '', '']
[314240.0, 160.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.38696, 0.05528, '', '']
[318800.0, 500.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.22112, 0.11056, '', '']
[322400.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.05528, '', '']
[326000.0, 400.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.2764, 0.11056, '', '']
[334245.0, 5.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 3.3168, 0.11056, '', '']
[334270.0, 40.0, 0.0, 0.0, 12.0, 0.0]
[3.0, 0.0, 7.29696, 0.0, 0.0, 0.0]
[1.43, 0.05, 1.11, 0.04, 0.257, 0.008]
[342800.0, 300.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.49752, 0.05528, '', '']
[344390.0, 50.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.71864, 0.11056, '', '']
[345600.0, 400.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.22112, 0.16584, '', '']
[347310.0, 40.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.66336, 0.05528, '', '']
[355400.0, 100.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.646776, 0.038696, '', '']
[360800.0, 600.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.044224, 0.033168, '', '']
[363060.0, 70.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.49752, 0.05528, '', '']
[367900.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.22112, 0.05528, '', '']
[368500.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.05528, '', '']
[369300.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.05528, '', '']
[376800.0, 100.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.22112, 0.05528, '', '']
[384000.0, 700.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.16584, 0.11056, '', '']
[392000.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.05528, '', '']
[396970.0, 40.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.71864, 0.05528, '', '']
[406000.0, 100.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.38696, 0.05528, '', '']
[413200.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.66336, 0.05528, '', '']
[415000.0, 0.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.05528, '', '']
[429030.0, 50.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 2.2112, 0.11056, '', '']
[435280.0, 50.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 1.21616, 0.16584, '', '']
[444940.0, 20.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 2.04536, 0.11056, '', '']
[458000.0, 700.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.05528, '', '']
[462230.0, 30.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 1.54784, 0.22112, '', '']
[464000.0, 500.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.2764, 0.16584, '', '']
[471870.0, 40.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.8292, 0.11056, '', '']
[474700.0, 400.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.05528, '', '']
[478620.0, 60.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.93976, 0.16584, '', '']
[487400.0, 60.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.5528, 0.11056, '', '']
[492960.0, 150.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.77392, 0.11056, '', '']
[495000.0, 100.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.19348, 0.022112, '', '']
[507200.0, 300.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.44224, 0.11056, '', '']
[519700.0, 100.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.2764, 0.11056, '', '']
[525630.0, 140.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.2764, 0.11056, '', '']
[532400.0, 50.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.88448, 0.05528, '', '']
[534880.0, 40.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 1.05032, 0.11056, '', '']
[540300.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.2764, 0.11056, '', '']
[555000.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.05528, '', '']
[565300.0, 500.0, 0.0, 0.0, 4.0, 0.0]
